title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Dir- School Culture Climate,600447,514472,13610,Innovation and Incubation,1.0,134511.31,134511.31,40105.0
Dir- School Culture Climate,600447,476695,46431,North Grand High School,1.0,98000.0,98000.0,31978.0
