title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Erp Analyst,500162,242790,12510,Information & Technology Services,1.0,53000.0,53000.0,21423.0
Erp Analyst,500162,294496,12510,Information & Technology Services,1.0,53000.0,53000.0,21423.0
Erp Analyst,500162,374861,12510,Information & Technology Services,1.0,72900.0,72900.0,25651.0
